source,filament,dist_min,dist_min_pc,pa,within_10arcmin
hops 168,filament92_south,0.2460736254,0.0009878019142,90.45359306,filament195_south filament181_south filament79_south filament22_south filament91_south filament145_south filament286_south filament265_south filament193_south filament134_south filament187_south filament268_south filament212_south filament180_south filament133_south filament311_south filament194_south filament276_south filament144_south filament322_south filament135_south filament186_south filament317_south filament232_south filament197_south filament130_south filament43_south filament129_south filament284_south filament191_south filament228_south filament300_south filament136_south filament319_south filament282_south filament92_south filament131_south filament196_south filament173_south filament77_south filament301_south filament229_south filament190_south filament8_south filament320_south filament283_south filament161_south
hops 169,filament186_south,0.9871479048,0.003962661941,145.8683007,filament17_south filament195_south filament181_south filament79_south filament22_south filament91_south filament107_south filament60_south filament145_south filament286_south filament97_south filament193_south filament250_south filament134_south filament187_south filament268_south filament162_south filament212_south filament176_south filament143_south filament180_south filament133_south filament311_south filament194_south filament276_south filament106_south filament112_south filament59_south filament144_south filament165_south filament96_south filament135_south filament186_south filament10_south filament317_south filament177_south filament119_south filament163_south filament232_south filament130_south filament43_south filament108_south filament39_south filament129_south filament147_south filament284_south filament191_south filament300_south filament117_south filament9_south filament225_south filament282_south filament174_south filament92_south filament110_south filament131_south filament196_south filament109_south filament173_south filament146_south filament77_south filament128_south filament222_south filament301_south filament190_south filament8_south filament320_south filament283_south filament161_south
hops 174,filament17_south,0.9136280773,0.003667534715,98.39838619,filament17_south filament148_south filament113_south filament36_south filament115_south filament11_south filament6_south filament162_south filament176_south filament249_south filament280_south filament143_south filament16_south filament90_south filament165_south filament1_south filament114_south filament10_south filament177_south filament7_south filament163_south filament281_south filament226_south filament67_south filament20_south filament259_south filament18_south filament69_south filament246_south filament9_south filament321_south filament70_south filament188_south filament4_south filament174_south filament35_south filament313_south filament38_south filament19_south filament68_south filament8_south filament189_south
hops 177,filament128_south,23.55003015,0.09453579118,0,filament148_south filament22_south filament113_south filament11_south filament250_south filament176_south filament61_south filament114_south filament322_south filament245_south filament10_south filament251_south filament177_south filament281_south filament232_south filament226_south filament67_south filament34_south filament124_south filament197_south filament57_south filament43_south filament129_south filament252_south filament69_south filament300_south filament9_south filament32_south filament64_south filament282_south filament70_south filament174_south filament313_south filament196_south filament173_south filament56_south filament77_south filament128_south filament301_south filament68_south filament8_south filament283_south filament65_south
hops 178,filament19_south,10.34038021,0.04150890755,1.030467685,filament17_south filament113_south filament36_south filament115_south filament11_south filament6_south filament162_south filament249_south filament280_south filament143_south filament16_south filament168_south filament90_south filament215_south filament1_south filament114_south filament10_south filament7_south filament281_south filament142_south filament226_south filament20_south filament216_south filament259_south filament18_south filament69_south filament246_south filament9_south filament188_south filament4_south filament174_south filament35_south filament260_south filament313_south filament14_south filament38_south filament167_south filament19_south filament247_south filament253_south filament68_south filament8_south filament189_south
hops 179,filament19_south,22.77495386,0.09142443846,44.07133614,filament17_south filament148_south filament113_south filament36_south filament115_south filament11_south filament6_south filament162_south filament249_south filament280_south filament143_south filament16_south filament90_south filament215_south filament1_south filament114_south filament10_south filament7_south filament163_south filament281_south filament226_south filament67_south filament20_south filament259_south filament18_south filament69_south filament246_south filament9_south filament32_south filament70_south filament188_south filament4_south filament174_south filament35_south filament313_south filament14_south filament38_south filament167_south filament19_south filament247_south filament253_south filament68_south filament8_south filament189_south filament65_south
hops 181,filament19_south,50.8807669,0.204248297,8.293534134,filament17_south filament113_south filament36_south filament115_south filament11_south filament299_south filament6_south filament249_south filament280_south filament16_south filament168_south filament90_south filament215_south filament1_south filament114_south filament10_south filament7_south filament281_south filament142_south filament226_south filament20_south filament216_south filament259_south filament18_south filament69_south filament246_south filament9_south filament32_south filament70_south filament188_south filament4_south filament174_south filament35_south filament260_south filament313_south filament14_south filament38_south filament167_south filament217_south filament19_south filament247_south filament253_south filament68_south filament8_south filament189_south
hops 182,filament19_south,55.94048073,0.224559271,7.436773004,filament17_south filament113_south filament36_south filament115_south filament11_south filament299_south filament6_south filament249_south filament16_south filament168_south filament90_south filament215_south filament1_south filament114_south filament10_south filament7_south filament281_south filament142_south filament226_south filament20_south filament216_south filament259_south filament18_south filament69_south filament246_south filament9_south filament32_south filament70_south filament188_south filament4_south filament174_south filament35_south filament260_south filament313_south filament14_south filament38_south filament167_south filament217_south filament19_south filament247_south filament253_south filament68_south filament8_south filament189_south filament65_south
hops 192,filament88_south,11.31599167,0.04542525929,147.4148578,filament169_south filament219_south filament85_south filament221_south filament88_south filament170_south filament302_south filament206_south filament84_south filament171_south filament105_south filament87_south filament15_south filament166_south filament13_south filament273_south filament296_south filament86_south filament318_south
hops 198,filament230_south,29.17289567,0.1171073988,111.7873091,filament331_south filament277_south filament55_south filament41_south filament200_south filament244_south filament53_south filament47_south filament201_south filament270_south filament264_south filament298_south filament207_south filament46_south filament52_south filament295_south filament93_south filament333_south filament275_south filament183_south filament2_south filament278_south filament185_south filament179_south filament32_south filament81_south filament48_south filament231_south filament51_south filament210_south filament326_south filament182_south filament208_south filament102_south filament80_south filament94_south filament230_south filament5_south filament99_south filament211_south
